DH0001,KH266,MacBook Air M3,Dien thoai - Laptop,3,16951205,50853615,2025-05-29 18:00:00,Ho Chi Minh,The tin dung
DH0002,KH383,iPhone 15,Dien thoai - Laptop,1,18741847,18741847,2025-07-09 00:00:00,Can Tho,The tin dung
DH0003,KH042,Cap sac nhanh,Phu kien,1,2609398,2609398,2025-04-28 08:00:00,Nha Trang,Chuyen khoan
DH0004,KH027,Sac du phong Anker,Phu kien,4,2299300,9197200,2025-02-06 10:00:00,Hanoi,Vi dien tu
DH0005,KH153,Noi chien khong dau,Gia dung,2,4570071,9140142,2025-07-23 15:00:00,Ho Chi Minh,Chuyen khoan
DH0006,KH019,Chuan tivi Xiaomi,Thiet bi so,4,2007505,8030020,2025-01-13 16:00:00,Hanoi,Vi dien tu
DH0007,KH239,Ban phim co,Phu kien,4,2723228,10892912,2025-09-10 12:00:00,Da Nang,Tien mat
DH0008,KH113,Cam hanh trinh,Thiet bi so,2,1941420,3882840,2025-05-17 11:00:00,Hanoi,Chuyen khoan
DH0009,KH221,Lo vi song Sharp,Gia dung,4,1024615,4098460,2025-04-08 16:00:00,Da Nang,Vi dien tu
DH0010,KH164,iPad Pro,Dien thoai - Laptop,3,16731262,50193786,2025-04-27 08:00:00,Can Tho,Tien mat
DH0011,KH167,Ban phim co,Phu kien,3,2041590,6124770,2025-03-05 21:00:00,Ho Chi Minh,Chuyen khoan
DH0012,KH310,Cam hanh trinh,Thiet bi so,4,2322057,9288228,2025-03-24 09:00:00,Can Tho,Chuyen khoan
DH0013,KH047,Samsung Galaxy S24,Dien thoai - Laptop,2,17866737,35733474,2025-09-15 03:00:00,Hai Phong,Tien mat
DH0014,KH367,iPhone 15,Dien thoai - Laptop,1,22427980,22427980,2025-02-27 08:00:00,Hai Phong,The tin dung
DH0015,KH346,Dieu hoa Daikin,Dien lanh,3,17227354,51682062,2025-03-22 11:00:00,Can Tho,Chuyen khoan
DH0016,KH258,May nuoc nong,Dien lanh,3,6971885,20915655,2025-04-02 08:00:00,Can Tho,The tin dung
DH0017,KH300,May giat LG,Dien lanh,1,17345162,17345162,2025-09-04 22:00:00,Da Nang,Vi dien tu
DH0018,KH022,Tu dong Sanaky,Dien lanh,3,13927253,41781759,2025-06-12 13:00:00,Hanoi,The tin dung
DH0019,KH007,Samsung Galaxy S24,Dien thoai - Laptop,1,20903479,20903479,2025-04-20 17:00:00,Hanoi,The tin dung
DH0020,KH304,Noi chien khong dau,Gia dung,2,4353357,8706714,2025-11-28 15:00:00,Can Tho,The tin dung
DH0021,KH332,May chieu Mini,Thiet bi so,2,1167203,2334406,2025-08-28 02:00:00,Da Nang,The tin dung
DH0022,KH329,iPhone 15,Dien thoai - Laptop,3,29778012,89334036,2025-10-29 08:00:00,Hanoi,Tien mat
DH0023,KH179,Tai nghe Sony WH,Thiet bi so,1,448859,448859,2025-04-29 15:00:00,Da Nang,Chuyen khoan
DH0024,KH390,Laptop Asus ROG,Dien thoai - Laptop,4,17255310,69021240,2025-09-05 11:00:00,Nha Trang,Vi dien tu
DH0025,KH332,Sac du phong Anker,Phu kien,2,1339602,2679204,2025-02-24 07:00:00,Can Tho,Vi dien tu
DH0026,KH007,May chieu Mini,Thiet bi so,3,584805,1754415,2025-08-11 17:00:00,Hanoi,Tien mat
DH0027,KH005,Noi chien khong dau,Gia dung,1,3089795,3089795,2025-08-21 15:00:00,Nha Trang,The tin dung
DH0028,KH088,Cam hanh trinh,Thiet bi so,4,1888767,7555068,2025-12-26 08:00:00,Da Nang,Tien mat
DH0029,KH177,Loa Bluetooth JBL,Thiet bi so,2,280173,560346,2025-11-03 20:00:00,Ho Chi Minh,Chuyen khoan
DH0030,KH363,Ban phim co,Phu kien,4,1030233,4120932,2025-12-16 13:00:00,Da Nang,Vi dien tu
DH0031,KH273,Noi com dien Cuckoo,Gia dung,4,3595559,14382236,2025-01-13 14:00:00,Nha Trang,Chuyen khoan
DH0032,KH195,May hut bui Dyson,Gia dung,1,3720570,3720570,2025-10-10 18:00:00,Da Nang,Tien mat
DH0033,KH039,iPad Pro,Dien thoai - Laptop,3,24698068,74094204,2025-08-27 05:00:00,Hai Phong,The tin dung
DH0034,KH321,Dieu hoa Daikin,Dien lanh,4,12790124,51160496,2025-05-16 10:00:00,Hanoi,Vi dien tu
DH0035,KH223,Tu lanh Samsung,Dien lanh,3,16201664,48604992,2025-12-24 19:00:00,Da Nang,Vi dien tu
DH0036,KH090,The nho 128GB,Phu kien,3,816090,2448270,2025-09-25 23:00:00,Ho Chi Minh,Tien mat
DH0037,KH313,Tai nghe Sony WH,Thiet bi so,4,1795973,7183892,2025-10-02 11:00:00,Can Tho,Tien mat
DH0038,KH203,Loa Bluetooth JBL,Thiet bi so,2,685905,1371810,2025-09-10 04:00:00,Nha Trang,Vi dien tu
